duration,station_A_id,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender,tire_sizes
141 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),15,San Francisco Ferry Building (Harry Bridges Plaza),5407,Customer,1992,Female,26.0
5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,4413,Subscriber,1988,Female,26.0
11 minutes,16,Steuart St at Market St,81,Berry St at 4th St,4974,Subscriber,1992,Female,26.0
10 minutes,3,Powell St BART Station (Market St at 4th St),6,The Embarcadero at Sansome St,4606,Subscriber,1984,Female,26.0
5 minutes,21,Montgomery St BART Station (Market St at 2nd St),6,The Embarcadero at Sansome St,4794,Subscriber,1981,Male,29.0
4 minutes,21,Montgomery St BART Station (Market St at 2nd St),27,Beale St at Harrison St,38,Subscriber,1980,Male,26.0
21 minutes,16,Steuart St at Market St,31,Raymond Kimbell Playground,5247,Subscriber,1994,Male,26.0
132 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),8,The Embarcadero at Vallejo St,5188,Customer,1992,Female,27.0
7 minutes,5,Powell St BART Station (Market St at 5th St),61,Howard St at 8th St,4608,Subscriber,1998,Female,27.0
5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),64,5th St at Brannan St,5360,Subscriber,1990,Male,26.0
2 minutes,3,Powell St BART Station (Market St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),5323,Subscriber,1981,Male,29.0
125 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),8,The Embarcadero at Vallejo St,5374,Customer,1992,Female,26.0
14 minutes,21,Montgomery St BART Station (Market St at 2nd St),52,McAllister St at Baker St,5015,Subscriber,1993,Male,26.0
127 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),368,Myrtle St at Polk St,3562,Customer,1970,Female,26.0
8 minutes,3,Powell St BART Station (Market St at 4th St),92,Mission Bay Kids Park,5458,Subscriber,1988,Male,26.0
18 minutes,3,Powell St BART Station (Market St at 4th St),130,22nd St Caltrain Station,5460,Subscriber,1982,Male,26.0
4 minutes,3,Powell St BART Station (Market St at 4th St),324,Union Square (Powell St at Post St),4450,Subscriber,1988,Male,26.0
23 minutes,81,Berry St at 4th St,81,Berry St at 4th St,2135,Customer,1983,Male,27.0
70 minutes,3,Powell St BART Station (Market St at 4th St),20,Mechanics Monument Plaza (Market St at Bush St),5125,Customer,1984,Male,27.0
9 minutes,3,Powell St BART Station (Market St at 4th St),64,5th St at Brannan St,4761,Customer,1992,Male,27.0
69 minutes,3,Powell St BART Station (Market St at 4th St),20,Mechanics Monument Plaza (Market St at Bush St),4937,Customer,1984,Male,29.0
3 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),15,San Francisco Ferry Building (Harry Bridges Plaza),2489,Subscriber,1988,Female,29.0
9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),58,Market St at 10th St,4755,Subscriber,1995,Male,26.0
14 minutes,5,Powell St BART Station (Market St at 5th St),119,18th St at Noe St,5523,Customer,1970,Male,27.0
23 minutes,3,Powell St BART Station (Market St at 4th St),114,Rhode Island St at 17th St,3676,Customer,1983,Male,27.0
22 minutes,21,Montgomery St BART Station (Market St at 2nd St),145,29th St at Church St,4770,Subscriber,1986,Male,29.0
22 minutes,3,Powell St BART Station (Market St at 4th St),114,Rhode Island St at 17th St,1019,Customer,1983,Male,26.0
